Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,≤3,≥10,Apr,May,Jun,Year,Wins,Champion,Conference_Champion,Aug,Sep,Oct,Jul,M,Mar,E_Wins,E_Losses,W_Wins,W_Losses,E_Games,W_Games
2,Los Angeles Lakers,6-6,4-2,2-4,,6-6,,,,,,,0-3,2-2,0-1,,,1961,6.0,0,0,,,,,,6-5,,,6.0,6.0,,12.0
4,Syracuse Nationals,4-4,2-1,2-3,4-4,,,,,,,,2-0,1-4,,,,1961,4.0,0,0,,,,,,4-4,4.0,4.0,,,8.0,
5,Detroit Pistons,2-3,2-0,0-3,,2-3,,,,,,,,1-2,,,,1961,2.0,0,0,,,,,,2-3,,,2.0,3.0,,5.0
6,Philadelphia Warriors,0-3,0-2,0-1,0-3,,,,,,,,0-2,,,,,1961,0.0,0,0,,,,,,0-3,0.0,3.0,,,3.0,
1,Boston Celtics,8-5,5-2,3-3,4-2,4-3,,,,,,,1-1,5-3,3-2,,,1960,8.0,1,1,,,,,,5-3,4.0,2.0,4.0,3.0,6.0,7.0
2,St. Louis Hawks,7-7,4-3,3-4,3-4,4-3,,,,,,,1-1,5-4,2-3,,,1960,7.0,0,1,,,,,,5-4,3.0,4.0,4.0,3.0,7.0,7.0
3,Minneapolis Lakers,5-4,2-2,3-2,,5-4,,,,,,,2-0,1-3,,,,1960,5.0,0,0,,,,,,5-4,,,5.0,4.0,,9.0
4,Philadelphia Warriors,4-5,3-2,1-3,4-5,,,,,,,,0-1,3-1,,,,1960,4.0,0,0,,,,,,4-5,4.0,5.0,,,9.0,
5,Syracuse Nationals,1-2,1-0,0-2,1-2,,,,,,,,,0-2,,,,1960,1.0,0,0,,,,,,1-2,1.0,2.0,,,3.0,
6,Detroit Pistons,0-2,0-1,0-1,,0-2,,,,,,,0-1,0-1,,,,1960,0.0,0,0,,,,,,0-2,,,0.0,2.0,,2.0
