Team,Window_Start,Window_End,Count,Years_In_Window
Boston Celtics,1960,1962,3,"[1960, 1961, 1962]"
Boston Celtics,1963,1965,3,"[1963, 1964, 1965]"
Boston Celtics,1966,1969,3,"[1966, 1968, 1969]"
Chicago Bulls,1991,1993,3,"[1991, 1992, 1993]"
Chicago Bulls,1996,1998,3,"[1996, 1997, 1998]"
Golden State Warriors,2015,2018,3,"[2015, 2017, 2018]"
Los Angeles Lakers,1985,1988,3,"[1985, 1987, 1988]"
Los Angeles Lakers,2000,2002,3,"[2000, 2001, 2002]"
San Antonio Spurs,2003,2007,3,"[2003, 2005, 2007]"
