Team,Streak_Begin,Streak_End
Boston Celtics,1960,1963
Boston Celtics,1984,1987
Cleveland Cavaliers,2015,2018
Golden State Warriors,2015,2018
Los Angeles Lakers,1982,1985
Miami Heat,2011,2014
