Column,Definition
Team,Current normalized franchise name after applying Data/team_mapping.csv.
Streak_Begin,First season year in a qualifying consecutive streak.
Streak_End,Final season year in a qualifying consecutive streak.
Window_Start,First qualifying season year used in a non-overlapping window result.
Window_End,Final qualifying season year used in a non-overlapping window result.
Count,Number of qualifying seasons included in the window. This equals the configured streak threshold.
Years_In_Window,List of specific season years that caused the team to qualify within the window.
Parameter,Report-generation setting name from the analysis config.
Value,Value used for a report-generation setting.
